u[156,122]: 22238.000000, v[156,122]: 22238.000000, p[156,122]: 22238.000000
u[157,122]: 22239.000000, v[157,122]: 22239.000000, p[157,122]: 22239.000000
u[158,122]: 22240.000000, v[158,122]: 22240.000000, p[158,122]: 22240.000000
u[159,122]: 22241.000000, v[159,122]: 22241.000000, p[159,122]: 22241.000000
u[144,123]: 22407.000000, v[144,123]: 22407.000000, p[144,123]: 22407.000000
u[145,123]: 22408.000000, v[145,123]: 22408.000000, p[145,123]: 22408.000000
u[146,123]: 22409.000000, v[146,123]: 22409.000000, p[146,123]: 22409.000000
u[147,123]: 22410.000000, v[147,123]: 22410.000000, p[147,123]: 22410.000000
u[148,123]: 22411.000000, v[148,123]: 22411.000000, p[148,123]: 22411.000000
u[149,123]: 22412.000000, v[149,123]: 22412.000000, p[149,123]: 22412.000000
u[150,123]: 22413.000000, v[150,123]: 22413.000000, p[150,123]: 22413.000000
u[151,123]: 22414.000000, v[151,123]: 22414.000000, p[151,123]: 22414.000000
u[152,123]: 22415.000000, v[152,123]: 22415.000000, p[152,123]: 22415.000000
u[153,123]: 22416.000000, v[153,123]: 22416.000000, p[153,123]: 22416.000000
u[154,123]: 22417.000000, v[154,123]: 22417.000000, p[154,123]: 22417.000000
u[155,123]: 22418.000000, v[155,123]: 22418.000000, p[155,123]: 22418.000000
u[156,123]: 22419.000000, v[156,123]: 22419.000000, p[156,123]: 22419.000000
u[157,123]: 22420.000000, v[157,123]: 22420.000000, p[157,123]: 22420.000000
u[158,123]: 22421.000000, v[158,123]: 22421.000000, p[158,123]: 22421.000000
u[159,123]: 22422.000000, v[159,123]: 22422.000000, p[159,123]: 22422.000000
u[144,120]: 21864.000000, v[144,120]: 21864.000000, p[144,120]: 21864.000000
u[145,120]: 21865.000000, v[145,120]: 21865.000000, p[145,120]: 21865.000000
u[146,120]: 21866.000000, v[146,120]: 21866.000000, p[146,120]: 21866.000000
u[147,120]: 21867.000000, v[147,120]: 21867.000000, p[147,120]: 21867.000000
u[148,120]: 21868.000000, v[148,120]: 21868.000000, p[148,120]: 21868.000000
u[149,120]: 21869.000000, v[149,120]: 21869.000000, p[149,120]: 21869.000000
u[150,120]: 21870.000000, v[150,120]: 21870.000000, p[150,120]: 21870.000000
u[151,120]: 21871.000000, v[151,120]: 21871.000000, p[151,120]: 21871.000000
u[152,120]: 21872.000000, v[152,120]: 21872.000000, p[152,120]: 21872.000000
u[153,120]: 21873.000000, v[153,120]: 21873.000000, p[153,120]: 21873.000000
u[154,120]: 21874.000000, v[154,120]: 21874.000000, p[154,120]: 21874.000000
u[155,120]: 21875.000000, v[155,120]: 21875.000000, p[155,120]: 21875.000000
u[156,120]: 21876.000000, v[156,120]: 21876.000000, p[156,120]: 21876.000000
u[157,120]: 21877.000000, v[157,120]: 21877.000000, p[157,120]: 21877.000000
u[158,120]: 21878.000000, v[158,120]: 21878.000000, p[158,120]: 21878.000000
u[159,120]: 21879.000000, v[159,120]: 21879.000000, p[159,120]: 21879.000000
u[144,121]: 22045.000000, v[144,121]: 22045.000000, p[144,121]: 22045.000000
u[145,121]: 22046.000000, v[145,121]: 22046.000000, p[145,121]: 22046.000000
u[146,121]: 22047.000000, v[146,121]: 22047.000000, p[146,121]: 22047.000000
u[147,121]: 22048.000000, v[147,121]: 22048.000000, p[147,121]: 22048.000000
u[148,121]: 22049.000000, v[148,121]: 22049.000000, p[148,121]: 22049.000000
u[149,121]: 22050.000000, v[149,121]: 22050.000000, p[149,121]: 22050.000000
u[150,121]: 22051.000000, v[150,121]: 22051.000000, p[150,121]: 22051.000000
u[151,121]: 22052.000000, v[151,121]: 22052.000000, p[151,121]: 22052.000000
u[152,121]: 22053.000000, v[152,121]: 22053.000000, p[152,121]: 22053.000000
u[153,121]: 22054.000000, v[153,121]: 22054.000000, p[153,121]: 22054.000000
u[154,121]: 22055.000000, v[154,121]: 22055.000000, p[154,121]: 22055.000000
u[155,121]: 22056.000000, v[155,121]: 22056.000000, p[155,121]: 22056.000000
u[156,121]: 22057.000000, v[156,121]: 22057.000000, p[156,121]: 22057.000000
u[157,121]: 22058.000000, v[157,121]: 22058.000000, p[157,121]: 22058.000000
u[158,121]: 22059.000000, v[158,121]: 22059.000000, p[158,121]: 22059.000000
u[159,121]: 22060.000000, v[159,121]: 22060.000000, p[159,121]: 22060.000000
u[144,114]: 20778.000000, v[144,114]: 20778.000000, p[144,114]: 20778.000000
u[145,114]: 20779.000000, v[145,114]: 20779.000000, p[145,114]: 20779.000000
u[146,114]: 20780.000000, v[146,114]: 20780.000000, p[146,114]: 20780.000000
u[147,114]: 20781.000000, v[147,114]: 20781.000000, p[147,114]: 20781.000000
u[148,114]: 20782.000000, v[148,114]: 20782.000000, p[148,114]: 20782.000000
u[149,114]: 20783.000000, v[149,114]: 20783.000000, p[149,114]: 20783.000000
u[150,114]: 20784.000000, v[150,114]: 20784.000000, p[150,114]: 20784.000000
u[151,114]: 20785.000000, v[151,114]: 20785.000000, p[151,114]: 20785.000000
u[152,114]: 20786.000000, v[152,114]: 20786.000000, p[152,114]: 20786.000000
u[153,114]: 20787.000000, v[153,114]: 20787.000000, p[153,114]: 20787.000000
u[154,114]: 20788.000000, v[154,114]: 20788.000000, p[154,114]: 20788.000000
u[155,114]: 20789.000000, v[155,114]: 20789.000000, p[155,114]: 20789.000000
u[156,114]: 20790.000000, v[156,114]: 20790.000000, p[156,114]: 20790.000000
u[157,114]: 20791.000000, v[157,114]: 20791.000000, p[157,114]: 20791.000000
u[158,114]: 20792.000000, v[158,114]: 20792.000000, p[158,114]: 20792.000000
u[159,114]: 20793.000000, v[159,114]: 20793.000000, p[159,114]: 20793.000000
u[144,115]: 20959.000000, v[144,115]: 20959.000000, p[144,115]: 20959.000000
u[145,115]: 20960.000000, v[145,115]: 20960.000000, p[145,115]: 20960.000000
u[146,115]: 20961.000000, v[146,115]: 20961.000000, p[146,115]: 20961.000000
u[147,115]: 20962.000000, v[147,115]: 20962.000000, p[147,115]: 20962.000000
u[148,115]: 20963.000000, v[148,115]: 20963.000000, p[148,115]: 20963.000000
u[149,115]: 20964.000000, v[149,115]: 20964.000000, p[149,115]: 20964.000000
u[150,115]: 20965.000000, v[150,115]: 20965.000000, p[150,115]: 20965.000000
u[151,115]: 20966.000000, v[151,115]: 20966.000000, p[151,115]: 20966.000000
u[152,115]: 20967.000000, v[152,115]: 20967.000000, p[152,115]: 20967.000000
u[153,115]: 20968.000000, v[153,115]: 20968.000000, p[153,115]: 20968.000000
u[154,115]: 20969.000000, v[154,115]: 20969.000000, p[154,115]: 20969.000000
u[155,115]: 20970.000000, v[155,115]: 20970.000000, p[155,115]: 20970.000000
u[156,115]: 20971.000000, v[156,115]: 20971.000000, p[156,115]: 20971.000000
u[157,115]: 20972.000000, v[157,115]: 20972.000000, p[157,115]: 20972.000000
u[158,115]: 20973.000000, v[158,115]: 20973.000000, p[158,115]: 20973.000000
u[159,115]: 20974.000000, v[159,115]: 20974.000000, p[159,115]: 20974.000000
u[144,116]: 21140.000000, v[144,116]: 21140.000000, p[144,116]: 21140.000000
u[145,116]: 21141.000000, v[145,116]: 21141.000000, p[145,116]: 21141.000000
u[146,116]: 21142.000000, v[146,116]: 21142.000000, p[146,116]: 21142.000000
u[147,116]: 21143.000000, v[147,116]: 21143.000000, p[147,116]: 21143.000000
u[148,116]: 21144.000000, v[148,116]: 21144.000000, p[148,116]: 21144.000000
u[149,116]: 21145.000000, v[149,116]: 21145.000000, p[149,116]: 21145.000000
u[150,116]: 21146.000000, v[150,116]: 21146.000000, p[150,116]: 21146.000000
u[151,116]: 21147.000000, v[151,116]: 21147.000000, p[151,116]: 21147.000000
u[152,116]: 21148.000000, v[152,116]: 21148.000000, p[152,116]: 21148.000000
u[153,116]: 21149.000000, v[153,116]: 21149.000000, p[153,116]: 21149.000000
u[154,116]: 21150.000000, v[154,116]: 21150.000000, p[154,116]: 21150.000000
u[155,116]: 21151.000000, v[155,116]: 21151.000000, p[155,116]: 21151.000000
u[156,116]: 21152.000000, v[156,116]: 21152.000000, p[156,116]: 21152.000000
u[157,116]: 21153.000000, v[157,116]: 21153.000000, p[157,116]: 21153.000000
u[158,116]: 21154.000000, v[158,116]: 21154.000000, p[158,116]: 21154.000000
u[159,116]: 21155.000000, v[159,116]: 21155.000000, p[159,116]: 21155.000000
u[144,117]: 21321.000000, v[144,117]: 21321.000000, p[144,117]: 21321.000000
u[145,117]: 21322.000000, v[145,117]: 21322.000000, p[145,117]: 21322.000000
u[146,117]: 21323.000000, v[146,117]: 21323.000000, p[146,117]: 21323.000000
u[147,117]: 21324.000000, v[147,117]: 21324.000000, p[147,117]: 21324.000000
u[148,117]: 21325.000000, v[148,117]: 21325.000000, p[148,117]: 21325.000000
u[149,117]: 21326.000000, v[149,117]: 21326.000000, p[149,117]: 21326.000000
u[150,117]: 21327.000000, v[150,117]: 21327.000000, p[150,117]: 21327.000000
u[151,117]: 21328.000000, v[151,117]: 21328.000000, p[151,117]: 21328.000000
u[152,117]: 21329.000000, v[152,117]: 21329.000000, p[152,117]: 21329.000000
u[153,117]: 21330.000000, v[153,117]: 21330.000000, p[153,117]: 21330.000000
u[154,117]: 21331.000000, v[154,117]: 21331.000000, p[154,117]: 21331.000000
u[155,117]: 21332.000000, v[155,117]: 21332.000000, p[155,117]: 21332.000000
u[156,117]: 21333.000000, v[156,117]: 21333.000000, p[156,117]: 21333.000000
u[157,117]: 21334.000000, v[157,117]: 21334.000000, p[157,117]: 21334.000000
u[158,117]: 21335.000000, v[158,117]: 21335.000000, p[158,117]: 21335.000000
u[159,117]: 21336.000000, v[159,117]: 21336.000000, p[159,117]: 21336.000000
u[16,74]: 13410.000000, v[16,74]: 13410.000000, p[16,74]: 13410.000000
u[17,74]: 13411.000000, v[17,74]: 13411.000000, p[17,74]: 13411.000000
u[18,74]: 13412.000000, v[18,74]: 13412.000000, p[18,74]: 13412.000000
u[19,74]: 13413.000000, v[19,74]: 13413.000000, p[19,74]: 13413.000000
u[20,74]: 13414.000000, v[20,74]: 13414.000000, p[20,74]: 13414.000000
u[21,74]: 13415.000000, v[21,74]: 13415.000000, p[21,74]: 13415.000000
u[22,74]: 13416.000000, v[22,74]: 13416.000000, p[22,74]: 13416.000000
u[23,74]: 13417.000000, v[23,74]: 13417.000000, p[23,74]: 13417.000000
u[24,74]: 13418.000000, v[24,74]: 13418.000000, p[24,74]: 13418.000000
u[25,74]: 13419.000000, v[25,74]: 13419.000000, p[25,74]: 13419.000000
u[26,74]: 13420.000000, v[26,74]: 13420.000000, p[26,74]: 13420.000000
u[27,74]: 13421.000000, v[27,74]: 13421.000000, p[27,74]: 13421.000000
u[28,74]: 13422.000000, v[28,74]: 13422.000000, p[28,74]: 13422.000000
u[29,74]: 13423.000000, v[29,74]: 13423.000000, p[29,74]: 13423.000000
u[30,74]: 13424.000000, v[30,74]: 13424.000000, p[30,74]: 13424.000000
u[31,74]: 13425.000000, v[31,74]: 13425.000000, p[31,74]: 13425.000000
u[16,75]: 13591.000000, v[16,75]: 13591.000000, p[16,75]: 13591.000000
u[17,75]: 13592.000000, v[17,75]: 13592.000000, p[17,75]: 13592.000000
u[18,75]: 13593.000000, v[18,75]: 13593.000000, p[18,75]: 13593.000000
u[19,75]: 13594.000000, v[19,75]: 13594.000000, p[19,75]: 13594.000000
u[20,75]: 13595.000000, v[20,75]: 13595.000000, p[20,75]: 13595.000000
u[21,75]: 13596.000000, v[21,75]: 13596.000000, p[21,75]: 13596.000000
u[22,75]: 13597.000000, v[22,75]: 13597.000000, p[22,75]: 13597.000000
u[23,75]: 13598.000000, v[23,75]: 13598.000000, p[23,75]: 13598.000000
u[24,75]: 13599.000000, v[24,75]: 13599.000000, p[24,75]: 13599.000000
u[25,75]: 13600.000000, v[25,75]: 13600.000000, p[25,75]: 13600.000000
u[26,75]: 13601.000000, v[26,75]: 13601.000000, p[26,75]: 13601.000000
u[27,75]: 13602.000000, v[27,75]: 13602.000000, p[27,75]: 13602.000000
u[28,75]: 13603.000000, v[28,75]: 13603.000000, p[28,75]: 13603.000000
u[29,75]: 13604.000000, v[29,75]: 13604.000000, p[29,75]: 13604.000000
u[30,75]: 13605.000000, v[30,75]: 13605.000000, p[30,75]: 13605.000000
u[31,75]: 13606.000000, v[31,75]: 13606.000000, p[31,75]: 13606.000000
u[144,112]: 20416.000000, v[144,112]: 20416.000000, p[144,112]: 20416.000000
u[145,112]: 20417.000000, v[145,112]: 20417.000000, p[145,112]: 20417.000000
u[146,112]: 20418.000000, v[146,112]: 20418.000000, p[146,112]: 20418.000000
u[147,112]: 20419.000000, v[147,112]: 20419.000000, p[147,112]: 20419.000000
