TITLE = "Post Processing Tecplot"
VARIABLES = "X","Y","T"
ZONE T="BIG ZONE", I=52, J=52, DATAPACKING=POINT
-0.010000,-0.010000,100.000000
0.010000,-0.010000,100.000000
0.030000,-0.010000,100.000000
0.050000,-0.010000,100.000000
0.070000,-0.010000,100.000000
0.090000,-0.010000,100.000000
0.110000,-0.010000,100.000000
0.130000,-0.010000,100.000000
0.150000,-0.010000,100.000000
0.170000,-0.010000,100.000000
0.190000,-0.010000,100.000000
0.210000,-0.010000,100.000000
0.230000,-0.010000,100.000000
0.250000,-0.010000,100.000000
0.270000,-0.010000,100.000000
0.290000,-0.010000,100.000000
0.310000,-0.010000,100.000000
0.330000,-0.010000,100.000000
0.350000,-0.010000,100.000000
0.370000,-0.010000,100.000000
0.390000,-0.010000,100.000000
0.410000,-0.010000,100.000000
0.430000,-0.010000,100.000000
0.450000,-0.010000,100.000000
0.470000,-0.010000,100.000000
0.490000,-0.010000,100.000000
0.510000,-0.010000,100.000000
0.530000,-0.010000,100.000000
0.550000,-0.010000,100.000000
0.570000,-0.010000,100.000000
0.590000,-0.010000,100.000000
0.610000,-0.010000,100.000000
0.630000,-0.010000,100.000000
0.650000,-0.010000,100.000000
0.670000,-0.010000,100.000000
0.690000,-0.010000,100.000000
0.710000,-0.010000,100.000000
0.730000,-0.010000,100.000000
0.750000,-0.010000,100.000000
0.770000,-0.010000,100.000000
0.790000,-0.010000,100.000000
0.810000,-0.010000,100.000000
0.830000,-0.010000,100.000000
0.850000,-0.010000,100.000000
0.870000,-0.010000,100.000000
0.890000,-0.010000,100.000000
0.910000,-0.010000,100.000000
0.930000,-0.010000,100.000000
0.950000,-0.010000,100.000000
0.970000,-0.010000,100.000000
0.990000,-0.010000,100.000000
1.010000,-0.010000,100.000000
-0.010000,0.010000,100.000000
0.010000,0.010000,99.915821
0.030000,0.010000,99.831642
0.050000,0.010000,99.747461
0.070000,0.010000,99.663274
0.090000,0.010000,99.579068
0.110000,0.010000,99.494827
0.130000,0.010000,99.410524
0.150000,0.010000,99.326122
0.170000,0.010000,99.241570
0.190000,0.010000,99.156805
0.210000,0.010000,99.071746
0.230000,0.010000,98.986294
0.250000,0.010000,98.900331
0.270000,0.010000,98.813712
0.290000,0.010000,98.726271
0.310000,0.010000,98.637812
0.330000,0.010000,98.548107
0.350000,0.010000,98.456892
0.370000,0.010000,98.363863
0.390000,0.010000,98.268673
0.410000,0.010000,98.170921
0.430000,0.010000,98.070148
0.450000,0.010000,97.965824
0.470000,0.010000,97.857343
0.490000,0.010000,97.744003
0.510000,0.010000,97.624988
0.530000,0.010000,97.499354
0.550000,0.010000,97.365990
0.570000,0.010000,97.223592
0.590000,0.010000,97.070611
0.610000,0.010000,96.905199
0.630000,0.010000,96.725123
0.650000,0.010000,96.527669
0.670000,0.010000,96.309493
0.690000,0.010000,96.066430
0.710000,0.010000,95.793219
0.730000,0.010000,95.483113
0.750000,0.010000,95.127309
0.770000,0.010000,94.714093
0.790000,0.010000,94.227520
0.810000,0.010000,93.645305
0.830000,0.010000,92.935313
0.850000,0.010000,92.049449
0.870000,0.010000,90.912387
0.890000,0.010000,89.399357
0.910000,0.010000,87.288745
0.930000,0.010000,84.151138
0.950000,0.010000,79.061357
0.970000,0.010000,69.765339
0.990000,0.010000,50.000000
1.010000,0.010000,0.000000
-0.010000,0.030000,100.000000
0.010000,0.030000,99.831642
0.030000,0.030000,99.663286
0.050000,0.030000,99.494930
0.070000,0.030000,99.326565
0.090000,0.030000,99.158172
0.110000,0.030000,98.989717
0.130000,0.030000,98.821148
0.150000,0.030000,98.652393
0.170000,0.030000,98.483354
0.190000,0.030000,98.313904
0.210000,0.030000,98.143885
0.230000,0.030000,97.973101
0.250000,0.030000,97.801316
0.270000,0.030000,97.628247
0.290000,0.030000,97.453561
0.310000,0.030000,97.276871
0.330000,0.030000,97.097723
0.350000,0.030000,96.915596
0.370000,0.030000,96.729889
0.390000,0.030000,96.539909
0.410000,0.030000,96.344864
0.430000,0.030000,96.143845
0.450000,0.030000,95.935807
0.470000,0.030000,95.719547
0.490000,0.030000,95.493679
0.510000,0.030000,95.256597
0.530000,0.030000,95.006436
0.550000,0.030000,94.741014
0.570000,0.030000,94.457765
0.590000,0.030000,94.153654
0.610000,0.030000,93.825060
0.630000,0.030000,93.467625
0.650000,0.030000,93.076060
0.670000,0.030000,92.643874
0.690000,0.030000,92.163009
0.710000,0.030000,91.623333
0.730000,0.030000,91.011923
0.750000,0.030000,90.312029
0.770000,0.030000,89.501543
0.790000,0.030000,88.550683
0.810000,0.030000,87.418387
0.830000,0.030000,86.046499
0.850000,0.030000,84.350097
0.870000,0.030000,82.200742
0.890000,0.030000,79.396296
0.910000,0.030000,75.604484
0.930000,0.030000,70.254450
0.950000,0.030000,62.328952
0.970000,0.030000,50.000000
0.990000,0.030000,30.234661
1.010000,0.030000,0.000000
-0.010000,0.050000,100.000000
0.010000,0.050000,99.747461
0.030000,0.050000,99.494930
0.050000,0.050000,99.242408
0.070000,0.050000,98.989885
0.090000,0.050000,98.737338
0.110000,0.050000,98.484719
0.130000,0.050000,98.231958
0.150000,0.050000,97.978948
0.170000,0.050000,97.725548
0.190000,0.050000,97.471573
0.210000,0.050000,97.216789
0.230000,0.050000,96.960909
0.250000,0.050000,96.703584
0.270000,0.050000,96.444397
0.290000,0.050000,96.182857
0.310000,0.050000,95.918387
0.330000,0.050000,95.650319
0.350000,0.050000,95.377882
0.370000,0.050000,95.100186
0.390000,0.050000,94.816209
0.410000,0.050000,94.524782
0.430000,0.050000,94.224562
0.450000,0.050000,93.914010
0.470000,0.050000,93.591358
0.490000,0.050000,93.254568
0.510000,0.050000,92.901286
0.530000,0.050000,92.528780
0.550000,0.050000,92.133864
0.570000,0.050000,91.712801
0.590000,0.050000,91.261181
0.610000,0.050000,90.773761
0.630000,0.050000,90.244257
0.650000,0.050000,89.665073
